flightAirlines,flightCode,flightOrigin,flightTerminal,flightTime
 PAL Express              ,PR2986,Tacloban (TAC),Terminal 2,02:20PM
 PAL Express              ,PR2998,Zamboanga (ZAM),Terminal 2,02:25PM
 Cebu Pacific              ,5J566,Cebu (CEB),Terminal 3,02:30PM
 Cebu Pacific              ,5J618,Panglao (TAG),Terminal 3,02:35PM
 PAL Express              ,PR2042,Caticlan (MPH),Terminal 2,02:40PM
 PAL Express              ,PR2937,Basco (BSO),Terminal 2,02:45PM
 Philippine Airlines              ,PR1814,Davao (DVO),Terminal 2,02:55PM
 Philippines AirAsia              ,Z2359,Panglao (TAG),Terminal 4,03:10PM
 Philippines AirAsia              ,Z2226,Caticlan (MPH),Terminal 4,03:15PM
 Philippine Airlines              ,PR1854,Cebu (CEB),Terminal 2,03:40PM
 Cebu Pacific              ,5J396,Cagayan de Oro (CGY),Terminal 3,03:55PM
 Cebu Pacific              ,5J978,Davao (DVO),Terminal 3,04:00PM
 Cebu Pacific              ,5J902,Caticlan (MPH),Terminal 3,04:05PM
 Emirates              ,EK332,Dubai (DXB),Terminal 3,04:15PM
 Cebu Pacific              ,5J788,Butuan (BXU),Terminal 3,04:20PM
 Qatar Airways              ,QR932,Doha (DOH),Terminal 3,04:30PM
 Cathay Pacific              ,CX919,Hong Kong (HKG),Terminal 3,04:30PM
 Philippine Airlines              ,PR2046,Caticlan (MPH),Terminal 2,04:35PM
 Cebu Pacific              ,5J554,Cebu (CEB),Terminal 3,04:50PM
 Philippine Airlines              ,PR2786,Puerto Princesa (PPS),Terminal 2,04:55PM
